PRODUCT_DISCOUNT_HK,PRODUCT_HK,DV_LOAD_DATETIME,DV_RECORD_SOURCE,DISCOUNT_NAME,DISCOUNT_PERCENTAGE
EC9E1122FFC51ABBC94EACFDF277ECD6626BF725B215785CBD5111DC22395CDD,8482B33D7AEA523F3133FEFA438EDF07688B762F93267B6640A8697447B82250,2025-08-29 15:35:22.326,PIM_PRODUCTS,50% off,50.00
0E7DE7C99E90C152E40F2F49993D13ADF5CBFBB0F39F2F00D806BD1C59ED93CD,687E2758615CC4F8055A1E273496A606D9438F2285086FAD33B085B7FB237FD5,2025-08-29 15:35:22.326,PIM_PRODUCTS,10% off,10.00
157B5D368BDF8ABA73EDCC4FE7F7AAD8AE0553BC07389222C33DFD86530BBEC6,72D1D12D87D3F15F2945442994D097B3B3E32456ACCDEF9800E9505418C3B72B,2025-08-29 15:35:22.326,PIM_PRODUCTS,60% off,60.00
870B40C2970F2D1A02749FC646C366439D0FBC294B1C8BB8A10B20F8A8A9B359,AC3318D95F31D2F30E823AB3F72D36377D8559687E03DD993F6511F9B8F5680E,2025-08-29 15:35:22.326,PIM_PRODUCTS,60% off,60.00
25D86D28CC01D252888CF085314D2128D1EFECDBC792B7D3C9D653EE5DD4E591,F549F76A5800E760869A4CBECBA8FD1340C0ACDA85EDC8FF9CC28F8C1E68120F,2025-08-29 15:35:22.326,PIM_PRODUCTS,10% off,10.00
A8D50D49F37E26722C6B820D4D529315E6D83C6F34C583BB808EFFA4B5ED30C7,51DDFD88074E1BAE8131506DC8DF5F9B08B7E0AF5BF3E541944666ACFD7D2FAE,2025-08-29 15:35:22.326,PIM_PRODUCTS,10% off,10.00
69DDC90220230D0BB0AD06F171239B2816F1760CC22F40922A43740B0834200D,B0D9A4E1FF916DCDC563F7E4D263BCF2EB23C7BA2D29385C34C505AD71D97F6E,2025-08-29 15:35:22.326,PIM_PRODUCTS,10% off,10.00
B94D04F24406527E70AEC20AAF33BE639C8B6E95CF18C58D7CA8DFDE7FAABB39,4079BF7715CB5E4B870321EF1102B92010BD4330032696523FE4BC41FFEC089C,2025-08-29 15:35:22.326,PIM_PRODUCTS,60% off,60.00
9022D942DBE52802E751FCEFC6F1B0B4AA911ACFA81EAE3F0C33445673B102E6,A6E4DF35CCE15BC93ABA80BD30D882BF106C0CF4C295A8094B4FCFD3BEF8083B,2025-08-29 15:35:22.326,PIM_PRODUCTS,10% off,10.00
EC86804E54BF857ECC150F265ED57C4F6D672774A70A996EC8F5471DD8B90A29,EAE27D1EBE140C7CB27CD496E2DC37195DE9D7039A539F274F3341351DFE3E4B,2025-08-29 15:35:22.326,PIM_PRODUCTS,10% off,10.00
