PRODUCT_HK,PRODUCT_ID,DV_LOAD_DATETIME,DV_RECORD_SOURCE
8482B33D7AEA523F3133FEFA438EDF07688B762F93267B6640A8697447B82250,FR001,2025-08-29 15:35:25.079,PIM_PRODUCTS
4E1FA16E1C872AE0CA96E427C0115A3054B460F3E0A2416C14A45827470A782E,DRW5,2025-08-29 15:35:25.079,PIM_PRODUCTS
1F30B42742063704AA378CC9CBA2BF7221397278BAF2A398383F0D924DF713A5,DRW9,2025-08-29 15:35:25.079,PIM_PRODUCTS
45EB8BA262790624DDA8BD18B9DA5944FE10ED16B89DC3EFF81A537C8724B5E9,DRW11,2025-08-29 15:35:25.079,PIM_PRODUCTS
1B00542DA934440CEF7ADA059DCAAF6210F68113DC48BFAB886281CB3D4F7339,DRW14,2025-08-29 15:35:25.079,PIM_PRODUCTS
F16F4E39DD1B1175AD91A31079C7AB5EDF0715270B20C71FCEBF113557B24B31,DRW17,2025-08-29 15:35:25.079,PIM_PRODUCTS
E4FCA057CC2E46604E2EAAB3C1D91E875737843A045F82E8D00E3BC309CCC328,DRW21,2025-08-29 15:35:25.079,PIM_PRODUCTS
AB89EFE23A70883033C74F7610691B2CB4A48F4CCC4838DA4EA54991F129FFF2,DRW23,2025-08-29 15:35:25.079,PIM_PRODUCTS
DF74E9CC6B70F789185D8DC692F0262C96954BAE1A1E342897654A70B9C66903,DRW48,2025-08-29 15:35:25.079,PIM_PRODUCTS
B000CDA18B86A1ED9F51ADF3C59884B797C0E8C5B8182EBA1A414A1954578B46,DRW53,2025-08-29 15:35:25.079,PIM_PRODUCTS
AE19FE5455EBDBD1408BB7B5ED28008D3C354AC8C2941A0DE881B18A70717954,DRW54,2025-08-29 15:35:25.079,PIM_PRODUCTS
59300F159769CD831194C76284E784FE16AA7C35F47C097218FA61253EA1AC95,DRW58,2025-08-29 15:35:25.079,PIM_PRODUCTS
