PRODUCT_CATEGORY_HK,PRODUCT_HK,DV_LOAD_DATETIME,DV_RECORD_SOURCE,CATEGORY_NAME
9868626BCDD9CC11127D48DA750F2767A8F92EC03BE1273556FD2BFDECF29657,D33A3237D59F70C7DDCAC71E8F61C6F3BE7B64853A2EB890769908A344FAF916,2025-08-29 15:35:22.388,PIM_PRODUCTS,Westernwear-Women
A081B1FE1315E5FE3961D6BC8311538FFC07AA31CE5A1F52F28B497F4DD3545E,687E2758615CC4F8055A1E273496A606D9438F2285086FAD33B085B7FB237FD5,2025-08-29 15:35:22.388,PIM_PRODUCTS,Westernwear-Women
5BAD13A5E460B69086A2543AFADE806B022F38F9158137540D4382B65651F661,53B526C92DE7EA7EF99D130D9A3F6A0698560FBE526B045C36300EF5A12C9EF1,2025-08-29 15:35:22.388,PIM_PRODUCTS,Indianwear-Women
B3C5D14CADCC09D6DBFE57A816F50332BB783524569FD8E5B428DC0909FA0392,72BC9FA74B49CAC048E5B3DB58D22942C90480C5EB145C14E1559B84B00D446C,2025-08-29 15:35:22.388,PIM_PRODUCTS,Indianwear-Women
AB1045CD3868E21D702B70AEC846EA29939082479D360028C53507E3121A604E,C6AA6BF7188B4BC183B5AF8CAE36D4210119E8FE052ACA512ABCA121C8CD5057,2025-08-29 15:35:22.388,PIM_PRODUCTS,Indianwear-Women
DEC50A232C251C054F7D9F6CB2250587609B828D1EB875ADEFD22D29B911DD46,6C64F4AB7BCFDB99FB36008CBA899EFA7C975314F00C06ACF737B697C38390D3,2025-08-29 15:35:22.388,PIM_PRODUCTS,Fragrance-Women
0E99CF606160B4E43182A06E552665FFB3C34B628811B16194743AD1B3CF5BE0,3738EA14FF25E82229206436CD9019EEA0BEE0225A1F475586C094A093695BEE,2025-08-29 15:35:22.388,PIM_PRODUCTS,Jewellery-Women
5868C4892F6078ACC359EE60A11CBDE93890AD9E8C7B649E1B39739245BE6058,0F47980C6578B4CEF763EA4DAD3D28F3222A2A5B573E226F06971EFA40B26CA9,2025-08-29 15:35:22.388,PIM_PRODUCTS,Westernwear-Women
72B28A2863F9FE29CBEE6DDDB90BBA551C327E259257183CB6F7A2EED85AAD19,A2D1AB277BBC4026D700CEFEAD9349B27AAF9BB909C518A086A52A2670B41BDC,2025-08-29 15:35:22.388,PIM_PRODUCTS,Westernwear-Women
7212801D9FC6D318F10FC62441BC0F27B27AD91DDD3A0E574968D56B3EFABC73,C1926842C169A65F161FE884193C72F9164A1E64B57667A55BE04D0B6925AB2B,2025-08-29 15:35:22.388,PIM_PRODUCTS,Westernwear-Women
1D24098E72067F94AEECDEE670A36A405F943274D87F8ABC59DA62E8F10EC244,8E65E27B8EFDF49ACF22D15B3577ED18D370F0DC9CADF924E4CA4A3CEE4AFEF6,2025-08-29 15:35:22.388,PIM_PRODUCTS,Westernwear-Women
C7C022F35B22E2126DF88F4B4E662B16031C9B91B2F0A8F1C9AE522CD4DA8250,3ABB132AADDCC642973A95991401D2DA57213C6983F3177B2565A0E696BA5E32,2025-08-29 15:35:22.388,PIM_PRODUCTS,Westernwear-Women
B3FD10C41509A12CD6327DD2D547E9A71566CD9C7E431F35D5537A83B90FF164,47D4F9D9A03CDEF78ADC8BD91BB9554963CEBB344E54EFA0AC5AA2A9B27AD013,2025-08-29 15:35:22.388,PIM_PRODUCTS,Westernwear-Women
0F8256488ADC0BC15ECA79571D9C85D7FB130A68501FCF8E148FED766851A41B,5531717414D9CBB43964A74E680BF5975BCD9082BD2E96CE027A8A196FB55F7F,2025-08-29 15:35:22.388,PIM_PRODUCTS,Westernwear-Women
CBE12FDFB669902488CB0F7CF9562CA38FBC93D618B2110A5F3C1C9A8DADCE9E,DDC12F357EDCBA91E2E1F263637606127149DA9184A06436B1391458A81DCF73,2025-08-29 15:35:22.388,PIM_PRODUCTS,Indianwear-Women
